Year,Total Expected Valentine's Day Spending (in billions),Per person Expected Valentines Day Spend,Percent celebrating,Candy_x,Flowers_x,Jewelry_x,Greeting cards_x,An evening out_x,Clothing_x,Gift cards_x,Candy_y,Flowers_y,Jewelry_y,Greeting cards_y,An evening out_y,Clothing_y,Gift cards_y,Candy,Flowers,Jewelry,Greeting cards,An evening out,Clothing,Gift cards
2009,$14.7B, $102.50,63%,,,,,,,,,,,,,,,,,,,,,
2010,$14.1B, $103.00,60%,$1.2B,$1.7B,$3.0B,$0.8B,$3.3B,$1.5B,$1.2B,$8.60,$12.33,$21.52,$5.91,$23.76,$10.93,$8.42,47%,36%,15%,55%,36%,14%,11%
2011,$15.7B, $116.21,58%,$1.5B,$1.7B,$3.5B,$1.1B,$3.4B,$1.6B,$1.5B,$10.75,$12.62,$26.18,$8.09,$24.86,$12.00,$11.21,48%,34%,17%,52%,35%,14%,13%
2012,$17.6B, $126.03,59%,$1.5B,$1.9B,$4.1B,$1.0B,$3.6B,$1.5B,$1.2B,$10.85,$13.49,$29.60,$6.93,$25.66,$10.42,$8.43,51%,36%,19%,52%,36%,15%,13%
2013,$18.6B, $130.97,60%,$1.7B,$1.9B,$4.4B,$1.2B,$4.0B,$1.6B,$1.5B,$11.64,$13.48,$30.94,$8.32,$27.93,$11.46,$10.23,51%,37%,20%,55%,36%,16%,15%
2014,$17.3B, $133.91,54%,$1.4B,$1.9B,$3.9B,$1.0B,$3.5B,$1.7B,$1.2B,$10.80,$15.00,$30.58,$7.97,$27.48,$13.37,$9.00,49%,37%,19%,51%,37%,16%,14%
2015,$18.9B, $142.31,55%,$1.7B,$2.1B,$4.8B,$1.0B,$3.6B,$2.0B,$1.5B,$12.70,$15.72,$36.30,$7.87,$27.27,$14.72,$11.05,53%,38%,21%,51%,35%,16%,15%
2016,$19.7B, $146.84,55%,$1.8B,$2.0B,$4.4B,$1.1B,$4.5B,$2.0B,$1.7B,$13.11,$14.78,$33.11,$8.52,$33.46,$15.05,$12.52,50%,36%,20%,48%,38%,17%,15%
2017,$18.2B, $136.57,54%,$1.7B,$2.0B,$4.3B,$1.0B,$3.8B,$1.9B,$1.4B,$12.68,$14.63,$32.32,$7.36,$28.46,$13.91,$10.23,50%,35%,19%,47%,37%,18%,16%
2018,$19.6B, $143.56,55%,$1.8B,$2.0B,$4.7B,$0.9B,$3.7B,$1.9B,$1.5B,$13.12,$14.75,$34.10,$6.55,$26.96,$14.04,$11.04,55%,36%,19%,46%,35%,17%,15%
2019,$20.7B, $161.96,51%,$1.8B,$1.9B,$3.9B,$0.9B,$3.5B,$2.1B,$1.3B,$14.12,$15.07,$30.34,$7.31,$27.72,$16.08,$10.31,52%,35%,18%,44%,34%,18%,15%
2020,$27.4B,$196.31,55%,$2.4B,$2.3B,$5.8B,$1.3B,$4.3B,$2.9B,$2.0B,$17.30,$16.49,$41.65,$9.01,$30.78,$20.67,$14.21,52%,37%,21%,43%,34%,20%,19%
2021,$21.8B,$164.76,52%,$2.0B,$2.0B,$4.1B,$1.1B,$2.8B,$2.7B,$2.1B,$15.32,$15.42,$30.71,$8.48,$21.39,$20.05,$15.67,54%,36%,18%,44%,24%,20%,21%
2022,$23.9B,$175.41,53%,$2.2B,$2.3B,$6.2B,$1.0B,$4.3B,$2.9B,$2.3B,$15.90,$16.71,$45.75,$7.47,$31.35,$21.46,$17.22,56%,37%,22%,40%,31%,22%,21%
