Year,Total Expected Valentine's Day Spending (in billions),Per person Expected Valentines Day Spend,Percent celebrating,Candy_x,Flowers_x,Jewelry_x,Greeting cards_x,An evening out_x,Clothing_x,Gift cards_x,Candy_y,Flowers_y,Jewelry_y,Greeting cards_y,An evening out_y,Clothing_y,Gift cards_y,Candy,Flowers,Jewelry,Greeting cards,An evening out,Clothing,Gift cards
2009.0,$14.7B, $102.50,63%,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010.0,$14.1B, $103.00,60%,$1.2B,$1.7B,$3.0B,$0.8B,$3.3B,$1.5B,$1.2B,$8.60,$12.33,$21.52,$5.91,$23.76,$10.93,$8.42,47.0,36.0,15.0,55.0,36.0,14.0,11.0
2011.0,$15.7B, $116.21,58%,$1.5B,$1.7B,$3.5B,$1.1B,$3.4B,$1.6B,$1.5B,$10.75,$12.62,$26.18,$8.09,$24.86,$12.00,$11.21,48.0,34.0,17.0,52.0,35.0,14.0,13.0
2012.0,$17.6B, $126.03,59%,$1.5B,$1.9B,$4.1B,$1.0B,$3.6B,$1.5B,$1.2B,$10.85,$13.49,$29.60,$6.93,$25.66,$10.42,$8.43,51.0,36.0,19.0,52.0,36.0,15.0,13.0
2013.0,$18.6B, $130.97,60%,$1.7B,$1.9B,$4.4B,$1.2B,$4.0B,$1.6B,$1.5B,$11.64,$13.48,$30.94,$8.32,$27.93,$11.46,$10.23,51.0,37.0,20.0,55.0,36.0,16.0,15.0
2014.0,$17.3B, $133.91,54%,$1.4B,$1.9B,$3.9B,$1.0B,$3.5B,$1.7B,$1.2B,$10.80,$15.00,$30.58,$7.97,$27.48,$13.37,$9.00,49.0,37.0,19.0,51.0,37.0,16.0,14.0
2015.0,$18.9B, $142.31,55%,$1.7B,$2.1B,$4.8B,$1.0B,$3.6B,$2.0B,$1.5B,$12.70,$15.72,$36.30,$7.87,$27.27,$14.72,$11.05,53.0,38.0,21.0,51.0,35.0,16.0,15.0
2016.0,$19.7B, $146.84,55%,$1.8B,$2.0B,$4.4B,$1.1B,$4.5B,$2.0B,$1.7B,$13.11,$14.78,$33.11,$8.52,$33.46,$15.05,$12.52,50.0,36.0,20.0,48.0,38.0,17.0,15.0
2017.0,$18.2B, $136.57,54%,$1.7B,$2.0B,$4.3B,$1.0B,$3.8B,$1.9B,$1.4B,$12.68,$14.63,$32.32,$7.36,$28.46,$13.91,$10.23,50.0,35.0,19.0,47.0,37.0,18.0,16.0
2018.0,$19.6B, $143.56,55%,$1.8B,$2.0B,$4.7B,$0.9B,$3.7B,$1.9B,$1.5B,$13.12,$14.75,$34.10,$6.55,$26.96,$14.04,$11.04,55.0,36.0,19.0,46.0,35.0,17.0,15.0
2019.0,$20.7B, $161.96,51%,$1.8B,$1.9B,$3.9B,$0.9B,$3.5B,$2.1B,$1.3B,$14.12,$15.07,$30.34,$7.31,$27.72,$16.08,$10.31,52.0,35.0,18.0,44.0,34.0,18.0,15.0
2020.0,$27.4B,$196.31,55%,$2.4B,$2.3B,$5.8B,$1.3B,$4.3B,$2.9B,$2.0B,$17.30,$16.49,$41.65,$9.01,$30.78,$20.67,$14.21,52.0,37.0,21.0,43.0,34.0,20.0,19.0
2021.0,$21.8B,$164.76,52%,$2.0B,$2.0B,$4.1B,$1.1B,$2.8B,$2.7B,$2.1B,$15.32,$15.42,$30.71,$8.48,$21.39,$20.05,$15.67,54.0,36.0,18.0,44.0,24.0,20.0,21.0
2022.0,$23.9B,$175.41,53%,$2.2B,$2.3B,$6.2B,$1.0B,$4.3B,$2.9B,$2.3B,$15.90,$16.71,$45.75,$7.47,$31.35,$21.46,$17.22,56.0,37.0,22.0,40.0,31.0,22.0,21.0
2023.0,,,,,,,,,,,,,,,,,,62.02197802197816,41.6153846153843,23.351648351648237,48.1868131868132,36.054945054945165,23.16483516483504,22.032967032967008
2024.0,,,,,,,,,,,,,,,,,,63.929670329670444,42.68791208791163,24.103296703296564,48.63076923076926,36.595604395604596,24.12967032967026,23.03736263736255
2025.0,,,,,,,,,,,,,,,,,,65.83736263736273,43.76043956043941,24.85494505494512,49.074725274725324,37.1362637362638,25.094505494505484,24.041758241758316
